,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28,Species29,Species30,Species31,Species32,Species33,Species34,Species35,Species36,Species37,Species38,Species39,Species40,Species41,Species42,Species43,Species44,Species45,Species46,Species47,Species48,Species49,Species50,Species51,Species52,Species53,Species54,Species55,Species56,Species57,Species58,Species59,Species60,Species61,Species62,Species63,Species64,Species65,Species66,Species67,Species68,Species69
A_P_May,0,0,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A_P_Jun,0,1,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,4,0,1,0,0,0,6,14,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
A_P_Jul,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,7,2,0,0,0,1,1,0,0,0,0,2,50,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
A_P_Aug,0,2,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0
A_P_Sept,0,1,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,1,0,7,0,0,0,13,31,0,0,1,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,6,0,0,0
A_P_Oct,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,5,0,12,0,0,0,2,0,1,0,0,0,6,4,1,0,0,0,0,0,1,0,0,3,4,3,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0
A_P_Nov,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,4,12,4,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,1,0,0,0
A_P_Dec,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,3,0,0,0,8,7,0,0,0,0,0,0,1,1,0,4,16,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0
A_P_Jan,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,5,0,9,0,0,0,13,8,0,0,0,0,1,0,0,7,4,8,96,3,0,0,0,0,6,0,0,0,1,0,0,1,14,0,0,9,0,1,0
A_P_Feb,0,2,2,2,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,1,0,0,10,1,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,3,1,0,0
A_P_Mar,0,2,11,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,12,6,0,0,0,0,0,0,0,7,0,3,41,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,2,0,0,0
A_P_Apr,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
B_P_May,0,0,2,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0
B_P_Jun,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
B_P_Jul,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,1,6,2,0,0,0,0,0,0,0,0,2,1,28,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
B_P_Aug,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,4,2,0,1,0,0,0,0,3,0,0,0,0,0,0
B_P_Sept,0,1,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,3,0,0,3,5,1,0,0,0,0,0,0,0,0,0,4,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0
B_P_Oct,0,3,2,4,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,3,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,72,2,0,0,0,0,6,0,0,0,0,1,1,0,2,0,0,3,0,1,0
B_P_Nov,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0,3,1,4,5,0,0,0,0,1,0,0,0,3,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0
B_P_Dec,0,0,8,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,2,1,3,1,0,0,0,0,1,0,0,0,0,2,14,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,6,0,0,0
B_P_Jan,1,0,4,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,1,0,0,0,4,0,0,1,11,0,50,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,6,0,0,0
B_P_Feb,0,0,11,7,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,82,0,0,0,0,1,6,1,0,0,0,2,0,0,8,0,0,2,0,0,0
B_P_Mar,0,0,25,6,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,0,0,4,0,0,0,0,0,0,8,0,0,0,0,2,55,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,6,0,1,0
B_P_Apr,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,0,0,0
A_R_May,0,4,14,0,0,7,0,0,4,0,1,11,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
A_R_Jun,0,0,11,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,2,5,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0
A_R_Jul,0,8,38,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,12,0,0,0,37,27,0,0,0,0,0,0,0,0,0,7,37,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
A_R_Aug,0,11,25,0,0,0,0,0,0,0,0,72,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,36,0,0,3,24,16,0,0,0,0,0,0,0,0,0,4,75,1,0,0,0,0,0,6,0,0,1,0,0,3,0,10,0,0,0,0,0
A_R_Sept,0,3,11,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,1,9,9,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
A_R_Oct,0,5,2,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0
A_R_Nov,0,5,14,0,0,0,0,0,7,0,0,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,13,15,0,0,0,0,0,0,0,1,0,3,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,4,0,0,0
A_R_Dec,0,2,7,0,0,0,0,0,9,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,10,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0,2,0,1,0
A_R_Jan,0,6,2,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,15,7,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,2,0,0
A_R_Feb,0,9,9,0,1,0,0,0,3,0,0,23,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,0,0,0,9,22,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,0,0,1,0,0
A_R_Mar,0,7,4,1,0,1,0,0,9,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,13,16,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,51,0,4,2,0,0
A_R_Apr,0,22,20,0,0,0,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,8,2,0,0,10,35,0,0,0,0,0,0,0,6,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,0
B_R_May,1,0,6,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,11,0,0,0,0,0
B_R_Jun,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,14,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
B_R_Jul,0,9,10,0,0,0,0,0,0,0,1,7,0,0,7,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,21,39,0,0,0,0,0,0,0,2,0,9,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,8,0,0,1
B_R_Aug,0,6,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,1,0,0
B_R_Sept,0,10,21,1,0,0,0,2,4,0,0,10,1,1,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,10,15,0,0,0,0,3,0,0,1,0,5,61,0,0,0,0,0,0,0,0,2,0,5,0,0,0,32,0,9,3,0,0
B_R_Oct,0,8,7,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,17,0,0,0,0,0,0,0,1,0,4,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13,0,3,0,0,0
B_R_Nov,0,2,4,0,0,0,0,0,9,0,0,4,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,12,0,0,0,0,2,0,0,1,0,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,1,0,0
B_R_Dec,0,10,10,2,0,1,0,0,15,0,3,10,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,1,15,27,0,0,0,0,0,0,0,4,0,2,21,1,0,0,0,0,0,3,0,0,0,3,0,1,0,18,0,33,1,2,0
B_R_Jan,0,39,42,3,0,4,0,0,11,1,0,11,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,17,0,0,0,47,24,0,0,0,0,4,0,0,2,0,3,156,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,0,152,0,0,0
B_R_Feb,0,9,32,6,2,12,0,0,12,0,7,7,0,0,0,4,0,1,0,0,0,0,0,2,0,0,7,0,0,0,2,0,2,0,0,0,24,9,0,0,0,0,2,0,0,7,0,3,37,0,1,0,0,0,0,4,0,0,0,6,0,1,5,2,0,5,0,0,0
B_R_Mar,0,5,47,0,0,4,0,0,1,11,1,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,8,0,0,0,5,6,0,0,0,0,6,0,0,1,0,0,48,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,7,0,2,0
B_R_Apr,0,2,14,0,0,4,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,0,0,1,3,1,0,0,0,0,8,0,0,1,0,3,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,5,0,0,0
